               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11806,            0.034178,                   0,             0.12225,            0.074074,             0.02885,           0.0079682,             0.10992,            0.030242,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.10349,            0.035535,                   0,            0.012637,             0.48148,            0.027718,           0.0052021,            0.090898,            0.028823,                   0,            0.086497,            0.001497,            0.001497
                   2,            0.087764,            0.034438,                   0,            0.026213,             0.44444,            0.048449,            0.013594,            0.083573,            0.027698,                   0,            0.079291,           0.0022909,           0.0022909
                   3,            0.078244,            0.032265,                   0,             0.30767,             0.18519,             0.25134,            0.072757,            0.075663,            0.025854,                   0,            0.072082,           0.0030816,           0.0030816
                   4,            0.075061,            0.030284,                   0,             0.30357,             0.33333,              0.2378,            0.078009,            0.075261,            0.025955,                   0,            0.064869,           0.0038691,           0.0038691
                   5,            0.067172,            0.028264,                   0,             0.24573,             0.48148,             0.20663,            0.047483,             0.08065,            0.026181,                   0,            0.057653,           0.0046535,           0.0046535
                   6,            0.067469,            0.025136,                   0,             0.34381,             0.22222,             0.25797,            0.078769,            0.080188,            0.023506,                   0,            0.050435,           0.0054347,           0.0054347
                   7,            0.074384,            0.021024,                   0,             0.45823,             0.44444,             0.42365,             0.11458,            0.078499,            0.017556,                   0,            0.043213,           0.0062127,           0.0062127
                   8,             0.06705,            0.024472,                   0,             0.46176,             0.54045,             0.54245,             0.23012,            0.066131,            0.019052,                   0,            0.035988,           0.0069875,           0.0069875
                   9,            0.067509,            0.023278,                   0,             0.77031,             0.55556,             0.69834,             0.24296,            0.067458,             0.01741,                   0,            0.028759,           0.0077592,           0.0077592
                  10,            0.065077,            0.021387,                   0,             0.70117,             0.59259,             0.57043,             0.16921,            0.069802,            0.019051,                   0,            0.021528,           0.0085277,           0.0085277
                  11,            0.062898,             0.02094,                   0,             0.45095,             0.59259,             0.46661,              0.1359,            0.074065,            0.013489,                   0,            0.014293,           0.0092931,           0.0092931
                  12,            0.064065,            0.021296,                   0,             0.47011,              0.7037,              0.3929,             0.10936,            0.066363,            0.014206,                   0,           0.0097624,           0.0097624,           0.0097624
                  13,            0.059472,            0.022509,                   0,             0.53663,             0.62963,             0.58775,             0.22217,            0.056004,            0.015961,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.053486,            0.023584,                   0,             0.74357,             0.59259,             0.76523,             0.37718,            0.053063,            0.015161,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.050166,            0.020941,                   0,             0.63821,             0.74074,             0.69924,             0.30391,            0.055419,            0.013936,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,             0.05214,            0.017374,                   0,             0.70943,             0.66667,              0.6992,              0.2685,            0.052952,            0.013455,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.049547,            0.021228,                   0,             0.81646,             0.74074,             0.84557,             0.35175,            0.049738,            0.012942,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.050011,            0.018554,                   0,             0.73207,              0.7037,              0.6776,             0.24617,            0.055865,            0.012733,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.053989,            0.018799,                   0,             0.82949,             0.85185,             0.87209,             0.38072,             0.04635,            0.013037,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.044975,            0.017291,                   0,             0.68649,             0.81481,             0.71622,             0.29224,            0.047967,            0.013129,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.040665,            0.013321,                   0,             0.75917,             0.81481,             0.84915,             0.39656,            0.043917,            0.013366,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.041217,            0.016843,                   0,             0.70591,               0.889,               0.783,             0.41285,            0.044357,            0.013037,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.040721,            0.016338,                   0,             0.82524,             0.88889,             0.88456,             0.51064,            0.045552,            0.012134,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.039502,            0.017328,                   0,             0.95527,             0.79126,             0.92872,             0.58219,            0.040486,             0.01154,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.039868,            0.016717,                   0,              0.9052,             0.85185,               0.924,             0.47318,            0.047122,            0.011375,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,             0.04155,            0.016975,                   0,             0.94944,             0.92593,             0.94441,             0.48186,            0.041153,            0.011469,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.038329,            0.016925,                   0,             0.86452,             0.85185,             0.90952,             0.50902,            0.041078,            0.011887,                   0,           0.0094852,           0.0094852,           0.0094852
